Name,Name
"('Jeff Driskel19', 'http://www.espn.com/nfl/player/_/id/2574630/jeff-driskel')",
"('Joe Flacco15', 'http://www.espn.com/nfl/player/_/id/11252/joe-flacco')",
"('Dorian Thompson-Robinson17', 'http://www.espn.com/nfl/player/_/id/4367178/dorian-thompson-robinson')",
"('PJ Walker10', 'http://www.espn.com/nfl/player/_/id/3051308/pj-walker')",
"('Deshaun Watson4', 'http://www.espn.com/nfl/player/_/id/3122840/deshaun-watson')",
"('Nick Chubb24', 'http://www.espn.com/nfl/player/_/id/3128720/nick-chubb')",
"('Jerome Ford34', 'http://www.espn.com/nfl/player/_/id/4372019/jerome-ford')",
"('Kareem Hunt27', 'http://www.espn.com/nfl/player/_/id/3059915/kareem-hunt')",
"('John Kelly Jr.41', 'http://www.espn.com/nfl/player/_/id/3915381/john-kelly-jr')",
"('Pierre Strong Jr.20', 'http://www.espn.com/nfl/player/_/id/4249836/pierre-strong-jr')",
"('David Bell18', 'http://www.espn.com/nfl/player/_/id/4570409/david-bell')",
"('Amari Cooper2', 'http://www.espn.com/nfl/player/_/id/2976499/amari-cooper')",
"('Jaelon Darden16', 'http://www.espn.com/nfl/player/_/id/4243830/jaelon-darden')",
"('Marquise Goodwin3', 'http://www.espn.com/nfl/player/_/id/15839/marquise-goodwin')",
"('Jakeem Grant Sr.9', 'http://www.espn.com/nfl/player/_/id/2577641/jakeem-grant-sr')",
"('Elijah Moore8', 'http://www.espn.com/nfl/player/_/id/4372414/elijah-moore')",
"('James Proche II11', 'http://www.espn.com/nfl/player/_/id/3916204/james-proche-ii')",
"('Cedric Tillman19', 'http://www.espn.com/nfl/player/_/id/4369863/cedric-tillman')",
"('Austin Watkins Jr.80', 'http://www.espn.com/nfl/player/_/id/4363409/austin-watkins-jr')",
"('Michael Woods II12', 'http://www.espn.com/nfl/player/_/id/4360174/michael-woods-ii')",
"('Jordan Akins84', 'http://www.espn.com/nfl/player/_/id/3128452/jordan-akins')",
"('Harrison Bryant88', 'http://www.espn.com/nfl/player/_/id/4040774/harrison-bryant')",
"('Zaire Mitchell-Paden83', 'http://www.espn.com/nfl/player/_/id/4876006/zaire-mitchell-paden')",
"('David Njoku85', 'http://www.espn.com/nfl/player/_/id/3123076/david-njoku')",
"('Nick Harris53', 'http://www.espn.com/nfl/player/_/id/4039016/nick-harris')",
"('Ethan Pocic55', 'http://www.espn.com/nfl/player/_/id/3042738/ethan-pocic')",
"('Luke Wypler56', 'http://www.espn.com/nfl/player/_/id/4430806/luke-wypler')",
"('Joel Bitonio75', 'http://www.espn.com/nfl/player/_/id/16740/joel-bitonio')",
"('Michael Dunn68', 'http://www.espn.com/nfl/player/_/id/2976213/michael-dunn')",
"('Drew Forbes70', 'http://www.espn.com/nfl/player/_/id/3910156/drew-forbes')",
"('Rodger Saffold', 'http://www.espn.com/nfl/player/_/id/13294/rodger-saffold')",
"('Wyatt Teller77', 'http://www.espn.com/nfl/player/_/id/3045474/wyatt-teller')",
"('Geron Christian64', 'http://www.espn.com/nfl/player/_/id/3916414/geron-christian')",
"('Jack Conklin78', 'http://www.espn.com/nfl/player/_/id/2979534/jack-conklin')",
"('James Hudson III66', 'http://www.espn.com/nfl/player/_/id/4258181/james-hudson-iii')",
"('Dawand Jones79', 'http://www.espn.com/nfl/player/_/id/4427637/dawand-jones')",
"('Alex Leatherwood74', 'http://www.espn.com/nfl/player/_/id/4241466/alex-leatherwood')",
"('Justin Murray64', 'http://www.espn.com/nfl/player/_/id/2576585/justin-murray')",
"('Ty Nsekhe72', 'http://www.espn.com/nfl/player/_/id/15724/ty-nsekhe')",
"('Leroy Watson IV69', 'http://www.espn.com/nfl/player/_/id/4570018/leroy-watson-iv')",
"('Jedrick Wills Jr.71', 'http://www.espn.com/nfl/player/_/id/4241482/jedrick-wills-jr')",
